Loading parameters
WARNING:endless loop detected!
WARNING:endless loop detected!

Initial system energy
-714784.9172233837 kJ/mol

Energy minimization: 5000 steps
-737992.5422233837 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-662422.6672233837	262.8068405734595	0	--
1.6%	2000	1.9999999999998905	-648903.5422233837	282.9940747548412	0.683	4:19:23
2.4%	3000	2.9999999999997806	-641301.5422233837	294.22373853709877	0.684	4:16:47
3.2%	4000	3.9999999999996705	-635923.9172233837	298.00686021949076	0.684	4:14:45
4.0%	5000	5.000000000000004	-634556.7922233837	300.8558758109211	0.683	4:13:05
4.8%	6000	6.000000000000338	-633980.5422233837	303.2546937280755	0.683	4:10:53
5.6%	7000	7.000000000000672	-633365.4172233837	303.28335662570356	0.683	4:08:44
6.4%	8000	8.000000000001005	-633492.4172233837	303.9732448903997	0.682	4:07:00
7.2%	9000	9.000000000000451	-633482.1672233837	301.4636664391531	0.68	4:05:40
8.0%	10000	9.999999999999897	-632873.0422233837	303.5088263538452	0.679	4:03:55
