Loading parameters
WARNING:endless loop detected!
WARNING:endless loop detected!

Initial system energy
-41137.37000252842 kJ/mol

Energy minimization: 1000 steps
-39065.17469002842 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-35000.17469002842	257.716515873351	0	--
1.6%	2000	1.9999999999998905	-34012.98719002842	276.91712741887955	12.1	14:39
2.4%	3000	2.9999999999997806	-33738.42469002842	296.5070152174722	12.1	14:31
3.2%	4000	3.9999999999996705	-33320.29969002842	296.2717861455967	12	14:28
4.0%	5000	5.000000000000004	-33656.15906502842	298.39599937877756	12.1	14:15
4.8%	6000	6.000000000000338	-33506.03406502842	295.0040676792304	12.1	14:09
5.6%	7000	7.000000000000672	-33351.28406502842	299.6316833133495	12.1	14:01
6.4%	8000	8.000000000001005	-33583.47937752842	304.3009667533548	12.1	13:52
7.2%	9000	9.000000000000451	-33404.73719002842	297.3344019064176	12.2	13:40
8.0%	10000	9.999999999999897	-33661.17469002842	304.69209239038656	12.2	13:32
8.8%	11000	10.999999999999343	-33388.43250252842	300.40267840266637	12.1	13:32
9.6%	12000	11.999999999998789	-33470.69031502842	315.2550989401642	12.1	13:29
10.4%	13000	12.999999999998234	-33575.33094002842	312.7431008941076	12	13:23
11.2%	14000	13.99999999999768	-33271.93250252842	305.9849206278244	12	13:17
12.0%	15000	14.999999999997126	-33459.59656502842	308.37934536803135	12	13:11
12.8%	16000	15.999999999996572	-33295.01844002842	309.09344063677105	12	13:04
13.6%	17000	16.999999999997794	-33444.42469002842	306.1733056814083	12	12:58
14.4%	18000	17.999999999999016	-33349.04969002842	309.14440962097797	12	12:48
15.2%	19000	19.000000000000238	-33385.88562752842	303.63347187864827	11.9	12:51
16.0%	20000	20.00000000000146	-33556.35437752842	301.6375137126232	11.8	12:49
16.8%	21000	21.000000000002682	-33467.23719002842	306.47624154862183	11.8	12:41
17.6%	22000	22.000000000003904	-33689.11219002842	309.2967605252221	11.8	12:31
18.4%	23000	23.000000000005127	-33533.84656502842	298.25799275610063	11.9	12:22
19.2%	24000	24.00000000000635	-33505.62000252842	302.5588177451165	11.9	12:14
20.0%	25000	25.00000000000757	-33611.90906502842	301.8903344659085	11.9	12:06
20.8%	26000	26.000000000008793	-33157.26844002842	298.71086052400136	11.9	11:58
21.6%	27000	27.000000000010015	-33213.42469002842	304.58647036947144	11.9	11:50
22.4%	28000	28.000000000011237	-33119.56531502842	315.80170163372213	11.9	11:42
23.2%	29000	29.00000000001246	-33084.87781502842	311.7292741614929	11.9	11:35
24.0%	30000	30.00000000001368	-33178.84656502842	295.9937954544627	11.9	11:27
24.8%	31000	31.000000000014904	-33610.17469002842	303.0554810276563	12	11:18
25.6%	32000	32.00000000001612	-33274.40906502842	301.51435936839346	12	11:10
26.4%	33000	33.00000000001379	-33424.72156502842	297.6688454180447	12	11:03
27.2%	34000	34.00000000001146	-33098.51844002842	305.74273972786995	12	10:55
28.0%	35000	35.00000000000913	-33237.71375252842	315.08638316148125	12	10:48
28.8%	36000	36.0000000000068	-33306.73719002842	311.09957267931725	12	10:41
29.6%	37000	37.00000000000447	-33025.91687752842	304.2581627530411	12	10:34
30.4%	38000	38.00000000000214	-33247.85437752842	301.05145367003837	12	10:27
31.2%	39000	38.99999999999981	-33499.77625252842	305.89578580576136	12	10:19
32.0%	40000	39.99999999999748	-33351.41687752842	302.5781475205888	12	10:12
32.8%	41000	40.99999999999515	-33396.54187752842	318.30491435281664	12	10:05
33.6%	42000	41.999999999992816	-33267.72156502842	306.39684570955404	12	9:57
34.4%	43000	42.999999999990486	-33184.20594002842	301.8906961619915	12	9:50
35.2%	44000	43.999999999988155	-33327.52625252842	312.35524771347434	12	9:43
36.0%	45000	44.999999999985825	-33506.37000252842	306.9157188924792	12	9:35
36.8%	46000	45.999999999983494	-33217.45594002842	301.92763550949	12	9:28
37.6%	47000	46.99999999998116	-33071.11219002842	304.3931913609978	12	9:21
38.4%	48000	47.99999999997883	-33157.40125252842	299.0628566049075	12	9:14
39.2%	49000	48.9999999999765	-33145.77625252842	294.1190608364348	12	9:06
40.0%	50000	49.99999999997417	-33291.47937752842	311.80909810677224	12	8:59
40.8%	51000	50.99999999997184	-33121.01844002842	298.2616898225686	12	8:52
41.6%	52000	51.99999999996951	-33622.25281502842	292.19976364996535	12	8:45
42.4%	53000	52.99999999996718	-33570.47937752842	302.81806731447284	12	8:38
43.2%	54000	53.99999999996485	-33203.33094002842	310.1044875176416	12	8:31
44.0%	55000	54.99999999996252	-33120.12781502842	313.5497342970695	12	8:23
44.8%	56000	55.99999999996019	-32871.17469002842	305.0299082353295	12	8:16
45.6%	57000	56.99999999995786	-33130.95594002842	306.27289844385876	12	8:09
46.4%	58000	57.99999999995553	-33453.30750252842	302.6414902024353	12	8:02
47.2%	59000	58.9999999999532	-33396.50281502842	289.7883632047055	12	7:55
48.0%	60000	59.999999999950866	-33268.55750252842	302.08247494341697	12	7:48
48.8%	61000	60.999999999948535	-33376.97156502842	302.38294757404907	12	7:40
49.6%	62000	61.999999999946205	-33228.14344002842	305.1820664154917	12	7:33
50.4%	63000	62.999999999943874	-33411.49500252842	313.9088159678364	12	7:26
51.2%	64000	63.999999999941544	-33116.64344002842	306.5983585850245	12	7:19
52.0%	65000	64.99999999994631	-33154.89344002842	303.3472644893072	12	7:12
52.8%	66000	65.99999999995109	-33407.40906502842	310.3537564718939	12	7:05
53.6%	67000	66.99999999995586	-33334.76844002842	302.9276476382386	12	6:58
54.4%	68000	67.99999999996064	-33312.22937752842	299.75198496479464	12	6:50
55.2%	69000	68.99999999996541	-33687.54187752842	304.63495100246223	12	6:43
56.0%	70000	69.99999999997019	-33557.61219002842	304.4944376460133	12	6:36
56.8%	71000	70.99999999997496	-33534.94031502842	296.44845177684897	12	6:29
57.6%	72000	71.99999999997974	-33666.47156502842	294.9547168045603	12	6:22
58.4%	73000	72.99999999998451	-33602.14344002842	300.8622028852186	12	6:15
59.2%	74000	73.99999999998929	-33311.36219002842	296.8011763449201	12	6:07
60.0%	75000	74.99999999999406	-33483.42469002842	295.5333170551271	12	6:00
60.8%	76000	75.99999999999883	-33243.31531502842	294.54551382934096	12	5:53
61.6%	77000	77.00000000000361	-32999.97156502842	300.6784757424966	12	5:46
62.4%	78000	78.00000000000838	-33349.00281502842	301.94211475741776	12	5:38
63.2%	79000	79.00000000001316	-33298.60437752842	309.5572843787431	12	5:31
64.0%	80000	80.00000000001793	-33468.51844002842	305.88406565697335	12	5:24
64.8%	81000	81.00000000002271	-33291.28406502842	302.7259135522829	12	5:17
65.6%	82000	82.00000000002748	-33364.40906502842	308.62169115541946	12	5:10
66.4%	83000	83.00000000003226	-33250.22156502842	292.82386250306223	12	5:02
67.2%	84000	84.00000000003703	-33358.79969002842	300.35295546230907	12	4:55
68.0%	85000	85.00000000004181	-33332.90906502842	296.7140897362297	12	4:48
68.8%	86000	86.00000000004658	-33368.34656502842	292.48883295187585	12	4:41
