Loading parameters

Initial system energy
-1563631.9836226832 kJ/mol

Energy minimization: 5000 steps
-1489145.2336226832 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-1357804.4836226832	266.69109598757956	0	--
1.6%	2000	1.9999999999998905	-1333175.4836226832	285.9413184249268	25.7	6:53
2.4%	3000	2.9999999999997806	-1320586.9836226832	293.80391232156694	25.6	6:51
3.2%	4000	3.9999999999996705	-1314181.9836226832	297.64303294391794	25.6	6:49
4.0%	5000	5.000000000000004	-1311634.9836226832	301.29376288694306	23.4	7:22
4.8%	6000	6.000000000000338	-1308497.9836226832	302.6469535388963	23.8	7:12
5.6%	7000	7.000000000000672	-1307510.4836226832	303.8412059119026	24	7:04
6.4%	8000	8.000000000001005	-1305797.4836226832	302.12112978389035	24.2	6:57
7.2%	9000	9.000000000000451	-1306834.4836226832	301.86707127634673	24.3	6:51
8.0%	10000	9.999999999999897	-1305982.9836226832	301.3595523633716	24.1	6:51
8.8%	11000	10.999999999999343	-1305258.9836226832	303.0973627070475	24.2	6:46
9.6%	12000	11.999999999998789	-1306103.9836226832	303.8287258094037	24.3	6:41
10.4%	13000	12.999999999998234	-1305153.4836226832	303.94947784362677	24.3	6:37
11.2%	14000	13.99999999999768	-1305747.9836226832	305.25930672276115	24.4	6:33
12.0%	15000	14.999999999997126	-1305519.9836226832	303.33184948790614	24.2	6:32
12.8%	16000	15.999999999996572	-1306616.4836226832	302.3386740091147	24.2	6:28
13.6%	17000	16.999999999997794	-1306864.9836226832	303.90385601929086	24.3	6:24
14.4%	18000	17.999999999999016	-1305884.4836226832	302.6845431788221	24.3	6:20
15.2%	19000	19.000000000000238	-1305162.4836226832	303.7010502965314	24.3	6:17
16.0%	20000	20.00000000000146	-1307649.4836226832	305.20700812242006	23.9	6:19
16.8%	21000	21.000000000002682	-1306884.9836226832	305.16813949866764	23.9	6:15
17.6%	22000	22.000000000003904	-1306233.9836226832	303.187669750548	23.9	6:11
18.4%	23000	23.000000000005127	-1305133.9836226832	302.4931141854721	24	6:07
19.2%	24000	24.00000000000635	-1305712.4836226832	303.7358816407396	24	6:03
20.0%	25000	25.00000000000757	-1306127.4836226832	304.45985094139326	23.9	6:01
20.8%	26000	26.000000000008793	-1305037.9836226832	304.9080233548569	23.9	5:57
21.6%	27000	27.000000000010015	-1305760.9836226832	304.211462766159	23.9	5:54
22.4%	28000	28.000000000011237	-1305141.9836226832	303.0229324294541	23.9	5:50
23.2%	29000	29.00000000001246	-1305473.9836226832	303.34260682796014	23.9	5:46
24.0%	30000	30.00000000001368	-1305634.9836226832	303.8435017957983	23.8	5:44
24.8%	31000	31.000000000014904	-1306320.9836226832	304.3324711593582	23.9	5:40
25.6%	32000	32.00000000001612	-1305973.9836226832	301.66518683355065	23.9	5:36
26.4%	33000	33.00000000001379	-1307954.4836226832	304.1171537355291	23.9	5:32
27.2%	34000	34.00000000001146	-1307820.4836226832	303.5836819319888	23.9	5:29
28.0%	35000	35.00000000000913	-1307198.9836226832	304.32174796247847	23.7	5:28
28.8%	36000	36.0000000000068	-1307112.9836226832	302.9574496865424	23.7	5:24
29.6%	37000	37.00000000000447	-1306421.4836226832	303.55780328903376	23.7	5:20
30.4%	38000	38.00000000000214	-1306151.9836226832	304.0874509921703	23.7	5:16
31.2%	39000	38.99999999999981	-1306327.4836226832	303.44581151596725	23.7	5:13
32.0%	40000	39.99999999999748	-1307824.9836226832	303.70133623854514	23.7	5:10
32.8%	41000	40.99999999999515	-1307302.9836226832	303.09390431931075	23.7	5:06
33.6%	42000	41.999999999992816	-1308495.9836226832	302.51528548651333	23.7	5:02
34.4%	43000	42.999999999990486	-1309333.9836226832	303.4035121431483	23.7	4:58
35.2%	44000	43.999999999988155	-1309704.9836226832	304.1946348321036	23.7	4:55
36.0%	45000	44.999999999985825	-1308964.9836226832	303.3110110217986	23.7	4:52
36.8%	46000	45.999999999983494	-1307355.9836226832	302.73203001635284	23.7	4:48
37.6%	47000	46.99999999998116	-1307603.9836226832	303.04683392696467	23.7	4:44
38.4%	48000	47.99999999997883	-1306674.4836226832	302.76356327813437	23.7	4:40
39.2%	49000	48.9999999999765	-1307807.4836226832	304.7629734300276	23.7	4:37
40.0%	50000	49.99999999997417	-1305611.4836226832	301.67504865959665	23.7	4:33
40.8%	51000	50.99999999997184	-1307694.9836226832	304.07269944059993	23.7	4:30
41.6%	52000	51.99999999996951	-1308785.4836226832	302.4031257387486	23.7	4:26
42.4%	53000	52.99999999996718	-1306625.4836226832	303.59514783286596	23.7	4:22
43.2%	54000	53.99999999996485	-1308086.9836226832	303.77573980930407	23.7	4:18
44.0%	55000	54.99999999996252	-1306472.4836226832	302.7439422784417	23.6	4:16
44.8%	56000	55.99999999996019	-1305876.9836226832	304.3777592508387	23.6	4:12
45.6%	57000	56.99999999995786	-1306667.4836226832	303.4294629940523	23.6	4:09
46.4%	58000	57.99999999995553	-1305998.9836226832	302.53985316988127	23.6	4:05
47.2%	59000	58.9999999999532	-1307717.4836226832	303.21108799067827	23.6	4:01
48.0%	60000	59.999999999950866	-1308783.9836226832	303.2638374794201	23.6	3:58
48.8%	61000	60.999999999948535	-1306942.9836226832	302.86429527011035	23.6	3:54
49.6%	62000	61.999999999946205	-1306523.9836226832	302.5347354887077	23.6	3:50
50.4%	63000	62.999999999943874	-1307201.9836226832	302.1073124952929	23.6	3:47
51.2%	64000	63.999999999941544	-1307147.4836226832	304.41275802428265	23.6	3:43
52.0%	65000	64.99999999994631	-1305225.9836226832	304.5043343628888	23.6	3:40
52.8%	66000	65.99999999995109	-1305592.9836226832	303.7035745478839	23.6	3:36
53.6%	67000	66.99999999995586	-1306698.9836226832	303.73507169479075	23.6	3:32
54.4%	68000	67.99999999996064	-1308311.4836226832	303.7199220111967	23.6	3:28
55.2%	69000	68.99999999996541	-1307783.9836226832	302.7406273292466	23.6	3:25
56.0%	70000	69.99999999997019	-1307640.9836226832	303.87332980944467	23.5	3:22
56.8%	71000	70.99999999997496	-1308269.9836226832	303.1810136561075	23.5	3:18
57.6%	72000	71.99999999997974	-1308215.9836226832	302.8084822382861	23.5	3:14
58.4%	73000	72.99999999998451	-1306770.4836226832	304.61924833990804	23.5	3:11
59.2%	74000	73.99999999998929	-1308579.9836226832	303.15531904492127	23.5	3:07
60.0%	75000	74.99999999999406	-1308063.9836226832	303.66990746838945	23.5	3:04
60.8%	76000	75.99999999999883	-1307532.9836226832	303.05754457856614	23.5	3:00
61.6%	77000	77.00000000000361	-1307685.9836226832	304.16290227834054	23.5	2:56
62.4%	78000	78.00000000000838	-1306351.9836226832	303.2391270182504	23.5	2:52
63.2%	79000	79.00000000001316	-1307378.9836226832	303.27592216416497	23.5	2:49
64.0%	80000	80.00000000001793	-1305608.4836226832	302.95502506784896	23.5	2:45
64.8%	81000	81.00000000002271	-1305920.4836226832	303.44009559757694	23.5	2:41
65.6%	82000	82.00000000002748	-1306996.9836226832	302.06125049436224	23.5	2:38
66.4%	83000	83.00000000003226	-1307454.9836226832	302.9847879877533	23.5	2:34
67.2%	84000	84.00000000003703	-1306817.9836226832	302.61208348036286	23.5	2:30
68.0%	85000	85.00000000004181	-1306636.9836226832	304.31420500051956	23.4	2:27
68.8%	86000	86.00000000004658	-1307532.4836226832	303.5105538728796	23.4	2:23
69.6%	87000	87.00000000005136	-1307836.9836226832	301.9982969405248	23.4	2:20
70.4%	88000	88.00000000005613	-1307239.4836226832	301.2434608827465	23.4	2:16
71.2%	89000	89.00000000006091	-1307942.9836226832	301.82314611441234	23.4	2:12
72.0%	90000	90.00000000006568	-1308203.9836226832	302.60084929713673	23.4	2:09
72.8%	91000	91.00000000007046	-1306905.9836226832	303.53703356930754	23.4	2:05
73.6%	92000	92.00000000007523	-1307561.9836226832	304.2581940751022	23.4	2:01
74.4%	93000	93.00000000008001	-1305150.9836226832	304.2971251370602	23.4	1:57
75.2%	94000	94.00000000008478	-1306870.4836226832	303.58781536441563	23.4	1:54
76.0%	95000	95.00000000008956	-1307070.4836226832	304.1044913557202	23.4	1:50
76.8%	96000	96.00000000009433	-1307627.9836226832	303.34653158552135	23.4	1:46
77.6%	97000	97.0000000000991	-1309444.9836226832	303.12587071800476	23.4	1:43
78.4%	98000	98.00000000010388	-1308243.9836226832	303.88838777142837	23.4	1:39
79.2%	99000	99.00000000010866	-1308002.9836226832	301.2398775675324	23.4	1:35
80.0%	100000	100.00000000011343	-1308478.9836226832	303.85941898740606	23.4	1:32
80.8%	101000	101.0000000001182	-1305621.4836226832	302.8001938510802	23.4	1:28
81.6%	102000	102.00000000012298	-1306261.9836226832	301.5645210428001	23.4	1:24
82.4%	103000	103.00000000012776	-1306471.9836226832	302.46714287519274	23.4	1:21
83.2%	104000	104.00000000013253	-1306834.9836226832	302.5510445365649	23.4	1:17
84.0%	105000	105.0000000001373	-1308086.9836226832	304.0764196202693	23.4	1:13
84.8%	106000	106.00000000014208	-1307329.4836226832	303.4855436344272	23.4	1:10
85.6%	107000	107.00000000014685	-1306376.9836226832	301.8270677008858	23.4	1:06
86.4%	108000	108.00000000015163	-1307144.9836226832	304.49426150519434	23.4	1:02
87.2%	109000	109.0000000001564	-1308542.9836226832	302.73414128164114	23.4	0:59
88.0%	110000	110.00000000016118	-1308783.4836226832	302.9437547003485	23.4	0:55
88.8%	111000	111.00000000016595	-1307845.9836226832	302.6709432674264	23.4	0:51
89.6%	112000	112.00000000017073	-1309221.4836226832	302.9482654563186	23.4	0:48
90.4%	113000	113.0000000001755	-1307145.9836226832	301.6998412529524	23.4	0:44
91.2%	114000	114.00000000018028	-1308618.9836226832	303.38507078645125	23.4	0:40
92.0%	115000	115.00000000018505	-1308167.4836226832	302.37264457491983	23.3	0:37
92.8%	116000	116.00000000018983	-1307573.4836226832	302.03435887530156	23.3	0:33
93.6%	117000	117.0000000001946	-1309098.9836226832	303.092788412103	23.3	0:29
94.4%	118000	118.00000000019938	-1308078.9836226832	301.6656692275117	23.3	0:25
95.2%	119000	119.00000000020415	-1307866.9836226832	303.26047139788403	23.4	0:22
96.0%	120000	120.00000000020893	-1306266.4836226832	302.7196896572311	23.3	0:18
96.8%	121000	121.0000000002137	-1307536.9836226832	303.07585628874585	23.3	0:14
97.6%	122000	122.00000000021848	-1306363.9836226832	304.28749149719283	23.3	0:11
98.4%	123000	123.00000000022325	-1305856.9836226832	303.52282328894466	23.4	0:07
99.2%	124000	124.00000000022803	-1306562.9836226832	303.4626018319906	23.4	0:03
100.0%	125000	125.0000000002328	-1306181.4836226832	304.2072117011955	23.3	0:00
