Loading parameters

Initial system energy
-49239.25264021038 kJ/mol

Energy minimization: 5000 steps
-46668.86982771038 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-42588.11201521038	275.2621571585383	0	--
1.6%	2000	1.9999999999998905	-41178.73701521038	285.0747749438778	486	0:21
2.4%	3000	2.9999999999997806	-40791.08076521038	302.15685280791126	485	0:21
3.2%	4000	3.9999999999996705	-40420.29951521038	299.17450782975715	485	0:21
4.0%	5000	5.000000000000004	-40583.47139021038	307.8132016676537	476	0:21
4.8%	6000	6.000000000000338	-40050.45576521038	294.0656699066434	477	0:21
5.6%	7000	7.000000000000672	-40213.48701521038	303.8354923275875	478	0:21
6.4%	8000	8.000000000001005	-40162.42451521038	304.9273651272122	479	0:21
7.2%	9000	9.000000000000451	-40006.67451521038	300.11183384600037	480	0:20
8.0%	10000	9.999999999999897	-40113.51826521038	310.22581935528564	477	0:20
8.8%	11000	10.999999999999343	-40227.36201521038	310.82727177197205	477	0:20
9.6%	12000	11.999999999998789	-40361.48701521038	300.117719587003	478	0:20
10.4%	13000	12.999999999998234	-40392.11201521038	296.48541738617297	478	0:20
11.2%	14000	13.99999999999768	-40603.09639021038	305.9120363149498	479	0:20
12.0%	15000	14.999999999997126	-40474.95576521038	306.46985808703573	477	0:19
12.8%	16000	15.999999999996572	-40162.70576521038	308.42940162104264	477	0:19
13.6%	17000	16.999999999997794	-40253.36201521038	308.7121992307877	478	0:19
14.4%	18000	17.999999999999016	-40418.69014021038	308.20699485751857	478	0:19
15.2%	19000	19.000000000000238	-40739.73701521038	307.903611557693	479	0:19
16.0%	20000	20.00000000000146	-40332.89326521038	287.884437930344	476	0:19
16.8%	21000	21.000000000002682	-40583.26826521038	300.983107716597	477	0:18
17.6%	22000	22.000000000003904	-40876.70576521038	314.45437003163073	477	0:18
18.4%	23000	23.000000000005127	-40521.86201521038	298.1823778672065	477	0:18
19.2%	24000	24.00000000000635	-40288.09639021038	301.73599474002623	478	0:18
20.0%	25000	25.00000000000757	-40412.08076521038	298.5512815110254	477	0:18
20.8%	26000	26.000000000008793	-40604.42451521038	302.2679360695263	477	0:17
21.6%	27000	27.000000000010015	-40512.48701521038	293.3993791874617	477	0:17
22.4%	28000	28.000000000011237	-40392.33076521038	307.13041488332635	477	0:17
23.2%	29000	29.00000000001246	-40437.23701521038	309.89198516937824	478	0:17
24.0%	30000	30.00000000001368	-40190.76826521038	293.3844237069917	477	0:17
24.8%	31000	31.000000000014904	-40353.61201521038	307.8823615896658	477	0:17
25.6%	32000	32.00000000001612	-40328.01826521038	298.49822600454786	477	0:16
26.4%	33000	33.00000000001379	-40483.23701521038	307.29566622955576	478	0:16
27.2%	34000	34.00000000001146	-40364.20576521038	304.3537130434132	478	0:16
28.0%	35000	35.00000000000913	-40579.11201521038	299.8827994655396	477	0:16
28.8%	36000	36.0000000000068	-40623.98701521038	299.54660941823573	477	0:16
29.6%	37000	37.00000000000447	-40564.67451521038	296.75277093328447	477	0:15
30.4%	38000	38.00000000000214	-40717.11201521038	299.84866872615555	478	0:15
31.2%	39000	38.99999999999981	-40181.92451521038	293.1944580649771	478	0:15
32.0%	40000	39.99999999999748	-40514.83076521038	308.6007954585866	477	0:15
32.8%	41000	40.99999999999515	-40490.33076521038	299.39435860143425	477	0:15
33.6%	42000	41.999999999992816	-40685.70576521038	306.53602492576204	477	0:15
34.4%	43000	42.999999999990486	-40314.28389021038	308.2259486930664	477	0:14
35.2%	44000	43.999999999988155	-40323.26826521038	298.6465051995973	477	0:14
36.0%	45000	44.999999999985825	-40608.92451521038	304.67904562470227	477	0:14
36.8%	46000	45.999999999983494	-40490.61201521038	305.683633240919	477	0:14
37.6%	47000	46.99999999998116	-40347.20576521038	308.6456876730597	477	0:14
38.4%	48000	47.99999999997883	-40209.23701521038	303.1743489962331	477	0:13
39.2%	49000	48.9999999999765	-39997.86201521038	292.24152416945583	477	0:13
40.0%	50000	49.99999999997417	-40552.33076521038	294.1011732521644	475	0:13
40.8%	51000	50.99999999997184	-40747.59639021038	286.6158513945423	475	0:13
41.6%	52000	51.99999999996951	-40655.98701521038	302.16735929631113	475	0:13
42.4%	53000	52.99999999996718	-40497.39326521038	293.68549034104046	475	0:13
43.2%	54000	53.99999999996485	-40440.64326521038	301.374645226403	475	0:12
44.0%	55000	54.99999999996252	-40480.04951521038	304.5345333799344	475	0:12
44.8%	56000	55.99999999996019	-40698.76826521038	302.4458416253082	475	0:12
45.6%	57000	56.99999999995786	-40563.34639021038	294.0459182380213	475	0:12
46.4%	58000	57.99999999995553	-40738.40889021038	296.9435713754853	475	0:12
47.2%	59000	58.9999999999532	-40766.36201521038	299.83499562322766	475	0:11
48.0%	60000	59.999999999950866	-40923.95576521038	303.45211682593816	475	0:11
48.8%	61000	60.999999999948535	-40379.70576521038	298.3153173945787	475	0:11
49.6%	62000	61.999999999946205	-40603.01826521038	306.07617752278514	475	0:11
50.4%	63000	62.999999999943874	-40487.92451521038	311.7847356956121	475	0:11
51.2%	64000	63.999999999941544	-40321.69014021038	306.45141091452876	476	0:11
52.0%	65000	64.99999999994631	-39930.92451521038	307.33351900998207	475	0:10
52.8%	66000	65.99999999995109	-39905.28389021038	307.4354278778226	475	0:10
53.6%	67000	66.99999999995586	-39837.51826521038	295.6153155031028	475	0:10
54.4%	68000	67.99999999996064	-40109.73701521038	306.980631999456	475	0:10
55.2%	69000	68.99999999996541	-40204.56514021038	300.6367512067309	475	0:10
56.0%	70000	69.99999999997019	-40155.39326521038	292.0455850719554	475	0:10
56.8%	71000	70.99999999997496	-40192.58076521038	310.38524391591955	475	0:09
57.6%	72000	71.99999999997974	-40454.54951521038	301.8529722883262	475	0:09
58.4%	73000	72.99999999998451	-39968.51826521038	291.86412095954665	475	0:09
59.2%	74000	73.99999999998929	-40068.73701521038	304.89892764469124	475	0:09
60.0%	75000	74.99999999999406	-40176.69014021038	308.93975025556813	475	0:09
60.8%	76000	75.99999999999883	-40579.01826521038	305.530726864044	475	0:08
61.6%	77000	77.00000000000361	-40428.48701521038	302.3115304732902	475	0:08
62.4%	78000	78.00000000000838	-40617.26826521038	304.01592344599834	475	0:08
63.2%	79000	79.00000000001316	-40513.95576521038	309.0927960204764	475	0:08
64.0%	80000	80.00000000001793	-40495.04951521038	306.24420836653616	475	0:08
64.8%	81000	81.00000000002271	-40371.28389021038	308.3309670385456	475	0:08
65.6%	82000	82.00000000002748	-40263.11201521038	308.78346751766543	475	0:07
66.4%	83000	83.00000000003226	-40395.84639021038	312.49820897104206	475	0:07
67.2%	84000	84.00000000003703	-40198.94014021038	309.67485635042135	475	0:07
68.0%	85000	85.00000000004181	-40287.54951521038	309.4643511958891	475	0:07
68.8%	86000	86.00000000004658	-40195.98701521038	306.31941381541594	475	0:07
69.6%	87000	87.00000000005136	-40083.89326521038	316.2943146076944	475	0:06
70.4%	88000	88.00000000005613	-40293.75264021038	309.7610177785345	475	0:06
71.2%	89000	89.00000000006091	-40446.73701521038	305.1159017126535	475	0:06
72.0%	90000	90.00000000006568	-40202.26826521038	308.19447299261276	475	0:06
72.8%	91000	91.00000000007046	-40281.89326521038	310.2596761982108	475	0:06
73.6%	92000	92.00000000007523	-40421.73701521038	307.2543076230709	475	0:06
74.4%	93000	93.00000000008001	-40415.48701521038	306.72816032905814	475	0:05
75.2%	94000	94.00000000008478	-40465.67451521038	298.3183374577655	475	0:05
76.0%	95000	95.00000000008956	-40392.61201521038	298.4109805012978	475	0:05
76.8%	96000	96.00000000009433	-40637.58076521038	301.1326398954707	475	0:05
77.6%	97000	97.0000000000991	-40588.23701521038	301.4182708313005	475	0:05
78.4%	98000	98.00000000010388	-40418.95576521038	294.26443758272154	475	0:04
79.2%	99000	99.00000000010866	-40348.76826521038	307.088716473594	475	0:04
80.0%	100000	100.00000000011343	-40017.64326521038	300.4853662864287	475	0:04
80.8%	101000	101.0000000001182	-40231.78389021038	308.7861266720514	475	0:04
81.6%	102000	102.00000000012298	-39995.76826521038	306.7961672933592	475	0:04
82.4%	103000	103.00000000012776	-39833.23701521038	309.1453996355399	475	0:04
83.2%	104000	104.00000000013253	-40392.92451521038	308.03648216271466	475	0:03
84.0%	105000	105.0000000001373	-40240.44014021038	302.6427347634929	475	0:03
84.8%	106000	106.00000000014208	-40034.83076521038	304.8330095329438	475	0:03
85.6%	107000	107.00000000014685	-40256.98701521038	303.09950275720155	475	0:03
86.4%	108000	108.00000000015163	-40458.79951521038	304.8919447001388	475	0:03
87.2%	109000	109.0000000001564	-40540.58076521038	303.54485354923406	475	0:02
88.0%	110000	110.00000000016118	-40127.11201521038	306.8026004642569	475	0:02
88.8%	111000	111.00000000016595	-40186.86201521038	303.35403541823206	475	0:02
89.6%	112000	112.00000000017073	-40248.14326521038	305.27096995445896	475	0:02
90.4%	113000	113.0000000001755	-40206.83076521038	302.41003783285004	475	0:02
91.2%	114000	114.00000000018028	-40216.23701521038	296.45735056019566	475	0:02
92.0%	115000	115.00000000018505	-40645.61201521038	313.25741086044394	475	0:01
92.8%	116000	116.00000000018983	-40275.76826521038	311.4689124640491	475	0:01
93.6%	117000	117.0000000001946	-40100.83076521038	303.90559486744814	475	0:01
94.4%	118000	118.00000000019938	-40247.11201521038	306.94358156926074	475	0:01
95.2%	119000	119.00000000020415	-40387.29951521038	306.0401702858118	475	0:01
96.0%	120000	120.00000000020893	-40317.58076521038	300.66679195894955	475	0:00
96.8%	121000	121.0000000002137	-40343.12764021038	301.32381364053293	475	0:00
97.6%	122000	122.00000000021848	-40625.23701521038	314.3416871751457	475	0:00
98.4%	123000	123.00000000022325	-40184.67451521038	314.1438413590503	475	0:00
99.2%	124000	124.00000000022803	-39955.39326521038	305.1357504113865	475	0:00
100.0%	125000	125.0000000002328	-40307.11201521038	309.0313416186216	475	0:00
